CustomerID,Gender,Age,Income,LoanAmount,LoanTerm,CreditScore,EmploymentStatus,MaritalStatus,PreviousDefaults,Defaulted
CUST000001,Female,21,132598,49661,48,448,Unemployed,Widowed,1,No
CUST000002,Female,22,72729,32954,36,393,Self-employed,Divorced,3,Yes
CUST000003,Male,33,41862,10324,24,834,Full-time,Divorced,3,No
CUST000004,Male,34,147515,38884,36,756,Part-time,Single,3,No
CUST000005,Male,65,80741,35154,48,840,Self-employed,Married,1,Yes
CUST000006,Male,31,89674,47532,36,743,Full-time,Married,4,No
CUST000007,Female,21,38595,43912,36,615,Self-employed,Single,2,No
CUST000008,Female,55,105885,15923,24,695,Full-time,Divorced,4,Yes
CUST000009,Male,53,123579,34571,36,603,Part-time,Single,1,Yes
CUST000010,Male,32,123889,35449,48,668,Part-time,Single,0,No
CUST000011,Male,19,64809,49970,24,791,Self-employed,Single,2,No
CUST000012,Female,54,128411,13233,24,340,Self-employed,Married,1,Yes
CUST000013,Male,57,82864,44453,24,519,Full-time,Single,0,Yes
CUST000014,Male,56,113380,31894,60,555,Part-time,Married,4,Yes
CUST000015,Male,23,93526,42896,60,362,Part-time,Married,1,Yes
CUST000016,Female,24,63902,36588,60,481,Self-employed,Widowed,2,Yes
CUST000017,Male,26,80119,27084,48,504,Full-time,Married,1,No
CUST000018,Male,58,124215,42577,48,370,Full-time,Widowed,1,No
CUST000019,Male,31,50272,26041,48,739,Part-time,Divorced,0,No
CUST000020,Female,62,45918,38351,60,824,Full-time,Divorced,4,Yes
CUST000021,Female,55,135527,35289,12,332,Full-time,Divorced,0,No
CUST000022,Male,33,77651,11171,60,504,Part-time,Widowed,1,Yes
CUST000023,Male,57,55494,6138,36,729,Part-time,Married,2,Yes
CUST000024,Female,21,56656,40956,36,398,Unemployed,Single,0,Yes
CUST000025,Female,24,69752,42066,24,661,Unemployed,Single,2,No
CUST000026,Male,55,24557,11236,36,545,Unemployed,Divorced,1,Yes
CUST000027,Male,42,100780,28533,48,599,Full-time,Single,4,Yes
CUST000028,Female,65,87034,38871,60,383,Unemployed,Widowed,2,Yes
CUST000029,Female,53,40345,23787,60,656,Self-employed,Divorced,0,No
CUST000030,Female,48,88005,9358,60,554,Full-time,Divorced,0,Yes
CUST000031,Female,65,52314,35076,36,412,Self-employed,Divorced,1,No
CUST000032,Female,46,149673,6856,60,702,Self-employed,Divorced,2,No
CUST000033,Male,20,75653,31238,60,429,Unemployed,Single,1,No
CUST000034,Female,31,94802,36105,12,504,Part-time,Divorced,4,No
CUST000035,Female,50,53542,32169,12,724,Self-employed,Married,2,Yes
CUST000036,Male,67,128955,24700,60,329,Full-time,Single,2,No
CUST000037,Female,61,96111,23207,48,341,Unemployed,Married,4,No
CUST000038,Male,57,36135,7612,24,413,Unemployed,Single,2,No
CUST000039,Male,59,42655,46597,48,684,Full-time,Married,1,Yes
CUST000040,Male,52,112736,41312,60,767,Full-time,Divorced,2,No
CUST000041,Male,20,77811,49999,48,640,Unemployed,Widowed,0,No
CUST000042,Female,45,61982,27170,12,442,Part-time,Divorced,1,No
CUST000043,Female,54,132867,32067,24,363,Self-employed,Married,1,No
CUST000044,Male,43,99875,16877,36,574,Self-employed,Widowed,3,No
CUST000045,Male,44,97297,39587,12,525,Unemployed,Widowed,1,No
CUST000046,Male,69,147621,8379,24,471,Part-time,Divorced,4,No
CUST000047,Female,40,146187,21461,24,387,Unemployed,Married,3,Yes
CUST000048,Female,21,106610,6768,60,630,Unemployed,Widowed,4,No
CUST000049,Male,44,68633,45251,24,475,Unemployed,Divorced,0,No
CUST000050,Female,39,140100,8103,48,673,Self-employed,Single,2,No
CUST000051,Female,25,41536,38400,24,465,Full-time,Married,1,No
CUST000052,Female,29,58820,9784,24,350,Unemployed,Divorced,0,Yes
CUST000053,Male,45,85327,45973,24,376,Part-time,Widowed,0,Yes
CUST000054,Female,41,73106,41226,24,418,Full-time,Single,3,No
CUST000055,Female,23,27586,26124,60,584,Unemployed,Divorced,3,No
CUST000056,Male,48,29688,15260,12,525,Part-time,Married,0,No
CUST000057,Male,25,98494,44571,24,592,Part-time,Married,4,No
CUST000058,Female,32,105639,38105,60,357,Full-time,Married,0,Yes
CUST000059,Male,40,117916,21764,24,429,Self-employed,Divorced,4,No
CUST000060,Female,62,131204,24044,36,489,Full-time,Single,3,Yes
CUST000061,Male,20,35168,37268,48,427,Unemployed,Divorced,3,No
CUST000062,Male,36,124040,47705,12,599,Part-time,Single,1,Yes
CUST000063,Male,22,63002,49542,60,468,Unemployed,Divorced,0,No
CUST000064,Male,35,45910,9780,60,833,Part-time,Married,0,No
CUST000065,Female,21,32496,49807,24,752,Part-time,Single,4,Yes
CUST000066,Male,33,139529,32233,24,681,Self-employed,Single,3,No
CUST000067,Female,56,134908,14896,24,350,Self-employed,Single,3,Yes
CUST000068,Female,43,105292,6174,36,383,Self-employed,Married,2,Yes
CUST000069,Female,25,52254,29416,60,466,Full-time,Single,3,No
CUST000070,Female,56,85711,30399,36,379,Unemployed,Single,2,No
CUST000071,Female,19,110059,35780,60,473,Self-employed,Single,0,No
CUST000072,Female,30,143072,31024,36,715,Full-time,Widowed,3,No
CUST000073,Male,20,70453,8817,60,571,Part-time,Single,4,No
CUST000074,Male,53,93153,34909,36,845,Part-time,Widowed,1,No
CUST000075,Male,51,43328,45861,24,706,Full-time,Single,4,No
CUST000076,Female,47,104096,37554,24,677,Part-time,Single,0,No
CUST000077,Female,48,52352,36008,12,701,Unemployed,Widowed,2,No
CUST000078,Male,29,113609,27095,24,613,Part-time,Married,1,No
CUST000079,Male,62,92661,12193,48,718,Full-time,Widowed,1,No
CUST000080,Male,62,93464,9456,60,777,Unemployed,Divorced,3,No
CUST000081,Female,64,43990,43325,12,527,Self-employed,Widowed,3,No
CUST000082,Male,56,79408,35056,24,823,Full-time,Widowed,0,No
CUST000083,Female,49,149751,47675,24,683,Full-time,Married,2,No
CUST000084,Female,29,56273,39821,24,599,Self-employed,Married,4,Yes
CUST000085,Male,58,44735,32384,48,376,Full-time,Married,0,No
CUST000086,Female,33,64482,41157,36,635,Full-time,Married,2,No
CUST000087,Female,48,112767,6846,12,470,Part-time,Widowed,4,Yes
CUST000088,Male,35,77856,31235,24,628,Part-time,Divorced,4,Yes
CUST000089,Male,53,61667,16310,24,743,Part-time,Married,4,No
CUST000090,Male,28,96151,15319,24,766,Unemployed,Divorced,1,No
CUST000091,Male,20,87643,32748,12,544,Part-time,Widowed,4,No
CUST000092,Male,30,29376,48737,12,645,Part-time,Single,0,No
CUST000093,Male,65,57595,44069,48,461,Unemployed,Single,0,No
CUST000094,Male,34,89833,19429,12,351,Part-time,Widowed,3,No
CUST000095,Male,55,27819,49847,24,686,Full-time,Divorced,1,No
CUST000096,Male,27,35574,23148,24,840,Self-employed,Single,4,Yes
CUST000097,Male,23,102941,27164,60,763,Full-time,Widowed,1,Yes
CUST000098,Male,18,91957,48704,36,576,Self-employed,Widowed,2,No
CUST000099,Female,26,146681,13815,24,743,Full-time,Divorced,4,No
CUST000100,Female,41,21875,47794,60,551,Self-employed,Widowed,0,No
CUST000101,Male,52,101264,34962,24,773,Self-employed,Widowed,3,No
CUST000102,Female,55,103658,15100,24,807,Full-time,Single,1,Yes
CUST000103,Female,30,96348,28364,60,482,Full-time,Single,3,Yes
CUST000104,Male,25,111824,33547,48,767,Self-employed,Divorced,1,No
CUST000105,Female,24,44629,20219,12,700,Unemployed,Single,4,No
CUST000106,Male,42,127122,44248,36,523,Unemployed,Widowed,2,Yes
CUST000107,Male,67,88472,8531,36,578,Part-time,Widowed,3,Yes
CUST000108,Male,51,65751,14732,60,794,Self-employed,Married,2,No
CUST000109,Female,61,116375,39770,24,594,Part-time,Widowed,2,No
CUST000110,Male,20,107340,17718,24,771,Unemployed,Widowed,4,No
CUST000111,Male,67,76943,14602,60,753,Full-time,Married,2,No
CUST000112,Female,22,122361,27749,12,724,Self-employed,Divorced,0,Yes
CUST000113,Male,54,33389,37788,12,366,Self-employed,Married,0,No
CUST000114,Male,51,141770,18309,36,352,Unemployed,Widowed,4,No
CUST000115,Male,61,105710,49047,60,609,Self-employed,Single,3,No
